SCD;21NOV12
RowNr;RD;RA;CD;CA;AL;FNR;SNR;DEP;ARR;STD;DDC;STA;ADC;Mo;Tu;We;Th;Fr;Sa;So;ACtype;ACtypefullname;AG;AGfullname;Start_Op;End_Op
3037;EU;EU;DE;DE;LH;LH158;0;FRA;LEJ;1255;0;1355;0;;;;;5;;;319;AirbusA319;O;Others;21DEC12;21DEC12
3038;EU;EU;DE;DE;LH;LH159;0;LEJ;FRA;0835;0;0945;0;1;2;3;4;5;6;7;CR7;CanadairRegionalJet700;O;Others;13NOV12;30NOV12
3039;EU;EU;DE;DE;LH;LH159;0;LEJ;FRA;0835;0;0945;0;;2;;4;5;6;7;CR7;CanadairRegionalJet700;O;Others;01DEC12;08DEC12
3040;EU;EU;DE;DE;LH;LH159;0;LEJ;FRA;0835;0;0945;0;1;;;;;;;735;Boeing737-500pax;O;Others;03DEC12;03DEC12
3041;EU;EU;DE;DE;LH;LH159;0;LEJ;FRA;0835;0;0945;0;;;3;;;;;319;AirbusA319;O;Others;05DEC12;05DEC12
3042;EU;EU;DE;DE;LH;LH159;0;LEJ;FRA;0835;0;0945;0;;;;;;;7;E90;EmbraerERJ190;O;Others;09DEC12;09DEC12
3043;EU;EU;DE;DE;LH;LH159;0;LEJ;FRA;0835;0;0945;0;1;2;3;4;5;6;7;CR7;CanadairRegionalJet700;O;Others;10DEC12;23DEC12
3044;EU;EU;DE;DE;LH;LH160;0;FRA;LEJ;1700;0;1800;0;;;;;5;;;733;Boeing737-300pax;O;Others;16NOV12;30NOV12
3045;EU;EU;DE;DE;LH;LH160;0;FRA;LEJ;1700;0;1800;0;1;;;;;6;7;735;Boeing737-500pax;O;Others;18NOV12;25NOV12
3046;EU;EU;DE;DE;LH;LH160;0;FRA;LEJ;1705;0;1805;0;;;3;4;;;;735;Boeing737-500pax;O;Others;22NOV12;29NOV12
3047;EU;EU;DE;DE;LH;LH160;0;FRA;LEJ;1700;0;1800;0;1;;;;;;;733;Boeing737-300pax;O;Others;26NOV12;26NOV12
3048;EU;EU;DE;DE;LH;LH160;0;FRA;LEJ;1705;0;1805;0;;2;;;;;;733;Boeing737-300pax;O;Others;27NOV12;27NOV12
3049;EU;EU;DE;DE;LH;LH160;0;FRA;LEJ;1700;0;1800;0;1;;;;;6;;CR7;CanadairRegionalJet700;O;Others;01DEC12;03DEC12
3050;EU;EU;DE;DE;LH;LH160;0;FRA;LEJ;1700;0;1800;0;;;;;;6;7;735;Boeing737-500pax;O;Others;02DEC12;09DEC12
3051;EU;EU;DE;DE;LH;LH160;0;FRA;LEJ;1705;0;1805;0;;2;;;;;;735;Boeing737-500pax;O;Others;04DEC12;11DEC12
3052;EU;EU;DE;DE;LH;LH160;0;FRA;LEJ;1705;0;1805;0;;;3;;;;;735;Boeing737-500pax;O;Others;05DEC12;16JAN13
3053;EU;EU;DE;DE;LH;LH160;0;FRA;LEJ;1705;0;1805;0;;;;4;;;;735;Boeing737-500pax;O;Others;06DEC12;20DEC12
3054;EU;EU;DE;DE;LH;LH160;0;FRA;LEJ;1700;0;1800;0;;;;;5;;;733;Boeing737-300pax;O;Others;07DEC12;07DEC12
3055;EU;EU;DE;DE;LH;LH160;0;FRA;LEJ;1700;0;1800;0;1;;;;5;;7;735;Boeing737-500pax;O;Others;10DEC12;23DEC12
3056;EU;EU;DE;DE;LH;LH160;0;FRA;LEJ;1700;0;1800;0;;;;;;6;;CR7;CanadairRegionalJet700;O;Others;15DEC12;15DEC12
3057;EU;EU;DE;DE;LH;LH160;0;FRA;LEJ;1705;0;1805;0;;2;;;;;;733;Boeing737-300pax;O;Others;18DEC12;18DEC12
3058;EU;EU;DE;DE;LH;LH160;0;FRA;LEJ;1705;0;1805;0;;;3;;;;;733;Boeing737-300pax;O;Others;21NOV12;21NOV12
3059;EU;EU;DE;DE;LH;LH161;0;LEJ;FRA;1100;0;1210;0;;2;3;;;;;CR7;CanadairRegionalJet700;O;Others;13NOV12;25DEC12
3060;EU;EU;DE;DE;LH;LH161;0;LEJ;FRA;1055;0;1205;0;;;;4;5;;7;CR7;CanadairRegionalJet700;O;Others;15NOV12;29MAR13
3061;EU;EU;DE;DE;LH;LH161;0;LEJ;FRA;1100;0;1210;0;1;;;;;6;;CR7;CanadairRegionalJet700;O;Others;17NOV12;25MAR13
3062;EU;EU;DE;PL;LH;LH1610;0;MUC;WAW;0635;0;0810;0;;;;;;;7;E95;EmbraerERJ195;O;Others;28OCT12;23DEC12
3063;EU;EU;DE;PL;LH;LH1610;0;MUC;WAW;0635;0;0810;0;1;2;3;4;5;;;E95;EmbraerERJ195;O;Others;19NOV12;30NOV12
3064;EU;EU;DE;PL;LH;LH1610;0;MUC;WAW;0635;0;0810;0;1;2;;;;;;E95;EmbraerERJ195;O;Others;03DEC12;04DEC12
3065;EU;EU;DE;PL;LH;LH1610;0;MUC;WAW;0635;0;0810;0;1;2;3;4;5;;;E95;EmbraerERJ195;O;Others;05DEC12;21DEC12
3066;EU;EU;PL;DE;LH;LH1611;0;WAW;MUC;0845;0;1025;0;;;;;;;7;E95;EmbraerERJ195;O;Others;28OCT12;23DEC12
3067;EU;EU;PL;DE;LH;LH1611;0;WAW;MUC;0845;0;1025;0;1;2;3;4;5;;;E95;EmbraerERJ195;O;Others;19NOV12;30NOV12
3068;EU;EU;PL;DE;LH;LH1611;0;WAW;MUC;0845;0;1025;0;1;2;;;;;;E95;EmbraerERJ195;O;Others;03DEC12;04DEC12
3069;EU;EU;PL;DE;LH;LH1611;0;WAW;MUC;0845;0;1025;0;1;2;3;4;5;;;E95;EmbraerERJ195;O;Others;05DEC12;21DEC12
3070;EU;EU;DE;PL;LH;LH1612;0;MUC;WAW;1055;0;1230;0;1;2;;4;;;7;319;AirbusA319;O;Others;19NOV12;25NOV12
3071;EU;EU;DE;PL;LH;LH1612;0;MUC;WAW;1055;0;1230;0;;2;3;;;6;;319;AirbusA319;O;Others;21NOV12;01DEC12
3072;EU;EU;DE;PL;LH;LH1612;0;MUC;WAW;1055;0;1230;0;1;;;4;5;;;31W;AirbusA319;O;Others;23NOV12;30NOV12
3073;EU;EU;DE;PL;LH;LH1612;0;MUC;WAW;1055;0;1230;0;;;;;;;7;320;AirbusA320-100/200;W;PAXULD;02DEC12;09DEC12
3074;EU;EU;DE;PL;LH;LH1612;0;MUC;WAW;1055;0;1230;0;1;2;3;4;;;;31W;AirbusA319;O;Others;03DEC12;10DEC12
3075;EU;EU;DE;PL;LH;LH1612;0;MUC;WAW;1055;0;1230;0;;;;;5;;;31W;AirbusA319;O;Others;07DEC12;21DEC12
3076;EU;EU;DE;PL;LH;LH1612;0;MUC;WAW;1055;0;1230;0;;2;;;;6;;319;AirbusA319;O;Others;08DEC12;11DEC12
3077;EU;EU;DE;PL;LH;LH1612;0;MUC;WAW;1055;0;1230;0;;2;3;4;;6;7;31W;AirbusA319;O;Others;12DEC12;18DEC12
3078;EU;EU;DE;PL;LH;LH1612;0;MUC;WAW;1055;0;1230;0;1;;3;4;;6;;319;AirbusA319;O;Others;17DEC12;22DEC12
3079;EU;EU;PL;DE;LH;LH1613;0;WAW;MUC;1310;0;1450;0;;;;;;6;;319;AirbusA319;O;Others;17NOV12;08DEC12
3080;EU;EU;PL;DE;LH;LH1613;0;WAW;MUC;1315;0;1455;0;;;;;;;7;319;AirbusA319;O;Others;25NOV12;25NOV12
3081;EU;EU;PL;DE;LH;LH1613;0;WAW;MUC;1310;0;1450;0;;2;3;4;;;;319;AirbusA319;O;Others;20NOV12;28NOV12
3082;EU;EU;PL;DE;LH;LH1613;0;WAW;MUC;1310;0;1450;0;1;;;4;5;;;31W;AirbusA319;O;Others;23NOV12;30NOV12
3083;EU;EU;PL;DE;LH;LH1613;0;WAW;MUC;1315;0;1455;0;;;;;;;7;320;AirbusA320-100/200;W;PAXULD;02DEC12;09DEC12
3084;EU;EU;PL;DE;LH;LH1613;0;WAW;MUC;1310;0;1450;0;1;2;3;4;;;;31W;AirbusA319;O;Others;03DEC12;10DEC12
3085;EU;EU;PL;DE;LH;LH1613;0;WAW;MUC;1310;0;1450;0;;;;;5;;;31W;AirbusA319;O;Others;07DEC12;21DEC12
3086;EU;EU;PL;DE;LH;LH1613;0;WAW;MUC;1310;0;1450;0;;2;;;;;;319;AirbusA319;O;Others;11DEC12;11DEC12
3087;EU;EU;PL;DE;LH;LH1613;0;WAW;MUC;1310;0;1450;0;;2;3;4;;6;;31W;AirbusA319;O;Others;12DEC12;18DEC12
3088;EU;EU;PL;DE;LH;LH1613;0;WAW;MUC;1315;0;1455;0;;;;;;;7;31W;AirbusA319;O;Others;16DEC12;16DEC12
3089;EU;EU;PL;DE;LH;LH1613;0;WAW;MUC;1310;0;1450;0;1;;3;4;;6;;319;AirbusA319;O;Others;17DEC12;22DEC12
3090;EU;EU;DE;PL;LH;LH1614;0;MUC;WAW;1450;0;1625;0;1;2;3;4;5;;7;E95;EmbraerERJ195;O;Others;16NOV12;23DEC12
3091;EU;EU;DE;PL;LH;LH1614;0;MUC;WAW;1450;0;1625;0;;;;;;6;;E95;EmbraerERJ195;O;Others;10NOV12;30MAR13
3092;EU;EU;PL;DE;LH;LH1615;0;WAW;MUC;1700;0;1840;0;;2;3;4;5;;7;E95;EmbraerERJ195;O;Others;16NOV12;17JAN13
3093;EU;EU;PL;DE;LH;LH1615;0;WAW;MUC;1700;0;1840;0;1;;;;;;;E95;EmbraerERJ195;O;Others;05NOV12;17DEC12
3094;EU;EU;PL;DE;LH;LH1615;0;WAW;MUC;1700;0;1840;0;;;;;;6;;E95;EmbraerERJ195;O;Others;10NOV12;30MAR13
3095;EU;EU;DE;PL;LH;LH1620;0;MUC;KRK;0655;0;0820;0;1;2;3;;;;;CR9;CanadairRegionalJet900;O;Others;12NOV12;19DEC12
3096;EU;EU;DE;PL;LH;LH1620;0;MUC;KRK;0655;0;0820;0;;;;4;5;;;CR9;CanadairRegionalJet900;O;Others;22NOV12;21DEC12
3097;EU;EU;PL;DE;LH;LH1621;0;KRK;MUC;0855;0;1020;0;1;2;3;4;5;;;CR9;CanadairRegionalJet900;O;Others;19NOV12;21DEC12
3098;EU;EU;DE;PL;LH;LH1622;0;MUC;KRK;1100;0;1225;0;1;2;3;4;5;6;7;E95;EmbraerERJ195;O;Others;19NOV12;30MAR13
3099;EU;EU;PL;DE;LH;LH1623;0;KRK;MUC;1300;0;1425;0;1;2;;4;;6;7;E95;EmbraerERJ195;O;Others;19NOV12;23DEC12
3100;EU;EU;PL;DE;LH;LH1623;0;KRK;MUC;1300;0;1425;0;;;3;;5;;;E95;EmbraerERJ195;O;Others;21NOV12;26DEC12
3101;EU;EU;DE;PL;LH;LH1624;0;MUC;KRK;1500;0;1625;0;1;2;3;4;;;;E95;EmbraerERJ195;O;Others;14NOV12;28MAR13
3102;EU;EU;DE;PL;LH;LH1624;0;MUC;KRK;1500;0;1625;0;;;;;5;6;7;E95;EmbraerERJ195;O;Others;23NOV12;30MAR13
3103;EU;EU;PL;DE;LH;LH1625;0;KRK;MUC;1700;0;1825;0;1;2;3;4;;;;E95;EmbraerERJ195;O;Others;13NOV12;28MAR13
3104;EU;EU;PL;DE;LH;LH1625;0;KRK;MUC;1700;0;1825;0;;;;;5;6;7;E95;EmbraerERJ195;O;Others;23NOV12;30MAR13
3105;EU;EU;DE;PL;LH;LH1626;0;MUC;KRK;2130;0;2255;0;;;3;;;;7;E95;EmbraerERJ195;O;Others;14NOV12;27MAR13
3106;EU;EU;DE;PL;LH;LH1626;0;MUC;KRK;2130;0;2255;0;;;;;5;;;E95;EmbraerERJ195;O;Others;16NOV12;04JAN13
3107;EU;EU;DE;PL;LH;LH1626;0;MUC;KRK;2130;0;2255;0;1;2;;;;;;E95;EmbraerERJ195;O;Others;19NOV12;18DEC12
3108;EU;EU;DE;PL;LH;LH1626;0;MUC;KRK;2130;0;2255;0;;;;4;;;;E95;EmbraerERJ195;O;Others;22NOV12;28MAR13
3109;EU;EU;DE;PL;LH;LH1626;0;MUC;KRK;2130;0;2255;0;;;;;;6;;E95;EmbraerERJ195;O;Others;24NOV12;05JAN13
3110;EU;EU;PL;DE;LH;LH1627;0;KRK;MUC;0635;0;0800;0;;2;3;;;;;E95;EmbraerERJ195;O;Others;14NOV12;19DEC12
3111;EU;EU;PL;DE;LH;LH1627;0;KRK;MUC;0635;0;0800;0;1;;;4;;;;E95;EmbraerERJ195;O;Others;15NOV12;28MAR13
3112;EU;EU;PL;DE;LH;LH1627;0;KRK;MUC;0640;0;0805;0;;;;;;6;;E95;EmbraerERJ195;O;Others;17NOV12;05JAN13
3113;EU;EU;PL;DE;LH;LH1627;0;KRK;MUC;0635;0;0800;0;;;;;5;;;E95;EmbraerERJ195;O;Others;23NOV12;29MAR13
3114;EU;EU;PL;DE;LH;LH1627;0;KRK;MUC;0635;0;0800;0;;;;;;;7;E95;EmbraerERJ195;O;Others;25NOV12;06JAN13
3115;EU;EU;DE;DE;LH;LH163;0;LEJ;FRA;1435;0;1540;0;;;;;5;;;733;Boeing737-300pax;O;Others;16NOV12;07DEC12
3116;EU;EU;DE;DE;LH;LH163;0;LEJ;FRA;1430;0;1535;0;;;;4;;;7;733;Boeing737-300pax;O;Others;18NOV12;25NOV12
3117;EU;EU;DE;DE;LH;LH163;0;LEJ;FRA;1430;0;1535;0;1;;;;;;;CR7;CanadairRegionalJet700;O;Others;19NOV12;26NOV12
3118;EU;EU;DE;DE;LH;LH163;0;LEJ;FRA;1435;0;1540;0;;2;;;;;;CR7;CanadairRegionalJet700;O;Others;20NOV12;27NOV12
3119;EU;EU;DE;DE;LH;LH163;0;LEJ;FRA;1435;0;1540;0;;;3;;;;;733;Boeing737-300pax;O;Others;21NOV12;28NOV12
3120;EU;EU;DE;DE;LH;LH163;0;LEJ;FRA;1430;0;1535;0;;;;4;;6;;CR7;CanadairRegionalJet700;O;Others;24NOV12;29NOV12
3121;EU;EU;DE;DE;LH;LH163;0;LEJ;FRA;1430;0;1535;0;;;;;;6;;733;Boeing737-300pax;O;Others;01DEC12;01DEC12
3122;EU;EU;DE;DE;LH;LH163;0;LEJ;FRA;1430;0;1535;0;;;;;;;7;735;Boeing737-500pax;O;Others;02DEC12;02DEC12
3123;EU;EU;DE;DE;LH;LH163;0;LEJ;FRA;1430;0;1535;0;1;;;4;;6;;CR7;CanadairRegionalJet700;O;Others;03DEC12;10DEC12
3124;EU;EU;DE;DE;LH;LH163;0;LEJ;FRA;1435;0;1540;0;;2;;;;;;CR7;CanadairRegionalJet700;O;Others;04DEC12;18DEC12
3125;EU;EU;DE;DE;LH;LH163;0;LEJ;FRA;1435;0;1540;0;;;3;;;;;CR7;CanadairRegionalJet700;O;Others;05DEC12;05DEC12
3126;EU;EU;DE;DE;LH;LH163;0;LEJ;FRA;1430;0;1535;0;;;;4;;6;7;733;Boeing737-300pax;O;Others;09DEC12;20DEC12
3127;EU;EU;DE;DE;LH;LH163;0;LEJ;FRA;1435;0;1540;0;;;3;;;;;733;Boeing737-300pax;O;Others;12DEC12;19DEC12
3128;EU;EU;DE;DE;LH;LH163;0;LEJ;FRA;1435;0;1540;0;;;;;5;;;735;Boeing737-500pax;O;Others;14DEC12;14DEC12
3129;EU;EU;DE;DE;LH;LH163;0;LEJ;FRA;1430;0;1535;0;1;;;;;;;733;Boeing737-300pax;O;Others;17DEC12;17DEC12
3130;EU;EU;DE;DE;LH;LH163;0;LEJ;FRA;1435;0;1540;0;;;;;5;;;319;AirbusA319;O;Others;21DEC12;21DEC12
3131;EU;EU;DE;PL;LH;LH1632;0;MUC;WRO;1110;0;1235;0;;;3;4;5;6;7;DH4;DeHavillandCanadaDHC-8Dash8-400;O;Others;18NOV12;06JAN13
3132;EU;EU;DE;PL;LH;LH1632;0;MUC;WRO;1110;0;1235;0;1;2;;;;;;DH4;DeHavillandCanadaDHC-8Dash8-400;O;Others;30OCT12;18DEC12
3133;EU;EU;PL;DE;LH;LH1633;0;WRO;MUC;1305;0;1425;0;;;3;4;5;6;7;DH4;DeHavillandCanadaDHC-8Dash8-400;O;Others;18NOV12;06JAN13
3134;EU;EU;PL;DE;LH;LH1633;0;WRO;MUC;1305;0;1425;0;1;2;;;;;;DH4;DeHavillandCanadaDHC-8Dash8-400;O;Others;30OCT12;18DEC12
3135;EU;EU;DE;PL;LH;LH1634;0;MUC;WRO;1715;0;1830;0;1;2;3;;;;7;CR9;CanadairRegionalJet900;O;Others;19NOV12;23DEC12
3136;EU;EU;DE;PL;LH;LH1634;0;MUC;WRO;1715;0;1830;0;;;;4;5;6;;CR9;CanadairRegionalJet900;O;Others;22NOV12;22DEC12
3137;EU;EU;PL;DE;LH;LH1635;0;WRO;MUC;1915;0;2025;0;1;2;3;4;5;6;7;CR9;CanadairRegionalJet900;O;Others;19NOV12;23DEC12
3138;EU;EU;DE;PL;LH;LH1636;0;MUC;POZ;1105;0;1235;0;1;2;3;4;5;;7;DH4;DeHavillandCanadaDHC-8Dash8-400;O;Others;11NOV12;23DEC12
3139;EU;EU;DE;PL;LH;LH1636;0;MUC;POZ;1105;0;1235;0;;;;;;6;;DH4;DeHavillandCanadaDHC-8Dash8-400;O;Others;03NOV12;29DEC12
3140;EU;EU;PL;DE;LH;LH1637;0;POZ;MUC;1305;0;1435;0;;;3;4;5;;7;DH4;DeHavillandCanadaDHC-8Dash8-400;O;Others;11NOV12;29MAR13
3141;EU;EU;PL;DE;LH;LH1637;0;POZ;MUC;1305;0;1435;0;1;2;;;;;;DH4;DeHavillandCanadaDHC-8Dash8-400;O;Others;29OCT12;18DEC12
3142;EU;EU;PL;DE;LH;LH1637;0;POZ;MUC;1305;0;1435;0;;;;;;6;;DH4;DeHavillandCanadaDHC-8Dash8-400;O;Others;03NOV12;05JAN13
3143;EU;EU;DE;PL;LH;LH1638;0;MUC;POZ;1510;0;1640;0;1;2;3;4;5;6;7;DH4;DeHavillandCanadaDHC-8Dash8-400;O;Others;28OCT12;23DEC12
3144;EU;EU;PL;DE;LH;LH1639;0;POZ;MUC;1710;0;1840;0;1;2;3;4;5;6;7;DH4;DeHavillandCanadaDHC-8Dash8-400;O;Others;28OCT12;23DEC12
3145;EU;EU;DE;DE;LH;LH164;0;FRA;LEJ;2150;0;2250;0;1;2;3;4;;6;;735;Boeing737-500pax;O;Others;22NOV12;11DEC12
3146;EU;EU;DE;DE;LH;LH164;0;FRA;LEJ;2155;0;2255;0;;;;;5;;;733;Boeing737-300pax;O;Others;23NOV12;23NOV12
3147;EU;EU;DE;DE;LH;LH164;0;FRA;LEJ;2150;0;2250;0;;;;;;;7;735;Boeing737-500pax;O;Others;25NOV12;16DEC12
3148;EU;EU;DE;DE;LH;LH164;0;FRA;LEJ;2155;0;2255;0;;;;;5;;;735;Boeing737-500pax;O;Others;30NOV12;21DEC12
3149;EU;EU;DE;DE;LH;LH164;0;FRA;LEJ;2150;0;2250;0;;;3;;;;;733;Boeing737-300pax;O;Others;12DEC12;12DEC12
3150;EU;EU;DE;DE;LH;LH164;0;FRA;LEJ;2150;0;2250;0;1;2;3;4;;6;;735;Boeing737-500pax;O;Others;13DEC12;22DEC12
3151;EU;EU;DE;DE;LH;LH164;0;FRA;LEJ;2150;0;2250;0;;;3;;;;;735;Boeing737-500pax;O;Others;21NOV12;21NOV12
3152;EU;EU;DE;PL;LH;LH1644;0;MUC;GDN;1045;0;1215;0;1;2;3;4;5;6;7;E95;EmbraerERJ195;O;Others;29OCT12;30MAR13
3153;EU;EU;PL;DE;LH;LH1645;0;GDN;MUC;1250;0;1425;0;1;2;3;4;5;6;7;E95;EmbraerERJ195;O;Others;28OCT12;30MAR13
3154;EU;EU;DE;PL;LH;LH1646;0;MUC;GDN;1445;0;1615;0;1;2;3;;;6;7;CR9;CanadairRegionalJet900;O;Others;20NOV12;23DEC12
3155;EU;EU;DE;PL;LH;LH1646;0;MUC;GDN;1445;0;1615;0;;;;4;5;;;E95;EmbraerERJ195;O;Others;22NOV12;30NOV12
3156;EU;EU;DE;PL;LH;LH1646;0;MUC;GDN;1445;0;1615;0;;;;4;5;;;CR9;CanadairRegionalJet900;O;Others;06DEC12;21DEC12
3157;EU;EU;PL;DE;LH;LH1647;0;GDN;MUC;1650;0;1825;0;1;2;3;;;6;7;CR9;CanadairRegionalJet900;O;Others;20NOV12;23DEC12
3158;EU;EU;PL;DE;LH;LH1647;0;GDN;MUC;1650;0;1825;0;;;;4;5;;;E95;EmbraerERJ195;O;Others;22NOV12;30NOV12
3159;EU;EU;PL;DE;LH;LH1647;0;GDN;MUC;1650;0;1825;0;;;;4;5;;;CR9;CanadairRegionalJet900;O;Others;06DEC12;21DEC12
3160;EU;EU;DE;PL;LH;LH1648;0;MUC;GDN;1930;0;2100;0;;;3;4;;;7;E95;EmbraerERJ195;O;Others;28OCT12;28MAR13
3161;EU;EU;DE;PL;LH;LH1648;0;MUC;GDN;1930;0;2100;0;1;2;;;;;;E95;EmbraerERJ195;O;Others;29OCT12;18DEC12
3162;EU;EU;DE;PL;LH;LH1648;0;MUC;GDN;1930;0;2100;0;;;;;5;6;;E95;EmbraerERJ195;O;Others;02NOV12;05JAN13
3163;EU;EU;PL;DE;LH;LH1649;0;GDN;MUC;0610;0;0745;0;;;;;;6;7;E95;EmbraerERJ195;O;Others;28OCT12;06JAN13
3164;EU;EU;PL;DE;LH;LH1649;0;GDN;MUC;0610;0;0745;0;1;;;;;;;E95;EmbraerERJ195;O;Others;29OCT12;25MAR13
3165;EU;EU;PL;DE;LH;LH1649;0;GDN;MUC;0610;0;0745;0;;2;3;4;5;;;E95;EmbraerERJ195;O;Others;30OCT12;21DEC12
3166;EU;EU;DE;DE;LH;LH165;0;LEJ;FRA;1840;0;1945;0;;;3;4;;;7;735;Boeing737-500pax;O;Others;22NOV12;29NOV12
3167;EU;EU;DE;DE;LH;LH165;0;LEJ;FRA;1840;0;1945;0;1;2;;;5;;;733;Boeing737-300pax;O;Others;23NOV12;30NOV12
3168;EU;EU;DE;DE;LH;LH165;0;LEJ;FRA;1855;0;2000;0;;;;;;6;;735;Boeing737-500pax;O;Others;24NOV12;24NOV12
3169;EU;EU;DE;DE;LH;LH165;0;LEJ;FRA;1855;0;2000;0;;;;;;6;;CR7;CanadairRegionalJet700;O;Others;01DEC12;01DEC12
3170;EU;EU;DE;DE;LH;LH165;0;LEJ;FRA;1840;0;1945;0;;2;3;4;;;7;735;Boeing737-500pax;O;Others;02DEC12;13DEC12
3171;EU;EU;DE;DE;LH;LH165;0;LEJ;FRA;1840;0;1945;0;1;;;;;;;CR7;CanadairRegionalJet700;O;Others;03DEC12;03DEC12
3172;EU;EU;DE;DE;LH;LH165;0;LEJ;FRA;1840;0;1945;0;;;;;5;;;733;Boeing737-300pax;O;Others;07DEC12;07DEC12
3173;EU;EU;DE;DE;LH;LH165;0;LEJ;FRA;1855;0;2000;0;;;;;;6;;735;Boeing737-500pax;O;Others;08DEC12;08DEC12
3174;EU;EU;DE;DE;LH;LH165;0;LEJ;FRA;1840;0;1945;0;1;;;;5;;7;735;Boeing737-500pax;O;Others;10DEC12;17DEC12
3175;EU;EU;DE;DE;LH;LH165;0;LEJ;FRA;1855;0;2000;0;;;;;;6;;CR7;CanadairRegionalJet700;O;Others;15DEC12;15DEC12
3176;EU;EU;DE;DE;LH;LH165;0;LEJ;FRA;1840;0;1945;0;;2;;;;;;733;Boeing737-300pax;O;Others;18DEC12;18DEC12
3177;EU;EU;DE;DE;LH;LH165;0;LEJ;FRA;1840;0;1945;0;;2;3;4;5;;7;735;Boeing737-500pax;O;Others;19DEC12;26DEC12
3178;EU;EU;DE;DE;LH;LH165;0;LEJ;FRA;1840;0;1945;0;;;3;;;;;733;Boeing737-300pax;O;Others;21NOV12;21NOV12
3179;EU;EU;DE;RO;LH;LH1650;0;MUC;OTP;0925;0;1225;0;;;;;5;;;320;AirbusA320-100/200;W;PAXULD;16NOV12;29MAR13
3180;EU;EU;DE;RO;LH;LH1650;0;MUC;OTP;0925;0;1225;0;1;;;4;;6;7;320;AirbusA320-100/200;W;PAXULD;19NOV12;25NOV12
3181;EU;EU;DE;RO;LH;LH1650;0;MUC;OTP;0925;0;1225;0;;2;3;;;;;31W;AirbusA319;O;Others;21NOV12;27NOV12
3182;EU;EU;DE;RO;LH;LH1650;0;MUC;OTP;0925;0;1225;0;1;;;;;;;319;AirbusA319;O;Others;26NOV12;26NOV12
3183;EU;EU;DE;RO;LH;LH1650;0;MUC;OTP;0925;0;1225;0;1;;3;4;;6;7;320;AirbusA320-100/200;W;PAXULD;28NOV12;09DEC12
3184;EU;EU;DE;RO;LH;LH1650;0;MUC;OTP;0925;0;1225;0;;2;;;;;;319;AirbusA319;O;Others;04DEC12;04DEC12
3185;EU;EU;DE;RO;LH;LH1650;0;MUC;OTP;0925;0;1225;0;1;2;;;;;;320;AirbusA320-100/200;W;PAXULD;10DEC12;24DEC12
3186;EU;EU;DE;RO;LH;LH1650;0;MUC;OTP;0925;0;1225;0;;;3;;;;;31W;AirbusA319;O;Others;12DEC12;12DEC12
3187;EU;EU;DE;RO;LH;LH1650;0;MUC;OTP;0925;0;1225;0;;;;4;;;;319;AirbusA319;O;Others;13DEC12;13DEC12
3188;EU;EU;DE;RO;LH;LH1650;0;MUC;OTP;0925;0;1225;0;;;3;4;;6;7;320;AirbusA320-100/200;W;PAXULD;15DEC12;23DEC12
3189;EU;EU;RO;DE;LH;LH1651;0;OTP;MUC;1305;0;1415;0;;;;;5;;;320;AirbusA320-100/200;W;PAXULD;16NOV12;29MAR13
3190;EU;EU;RO;DE;LH;LH1651;0;OTP;MUC;1305;0;1415;0;1;;;4;;6;7;320;AirbusA320-100/200;W;PAXULD;19NOV12;25NOV12
3191;EU;EU;RO;DE;LH;LH1651;0;OTP;MUC;1305;0;1415;0;;2;3;;;;;31W;AirbusA319;O;Others;21NOV12;27NOV12
3192;EU;EU;RO;DE;LH;LH1651;0;OTP;MUC;1305;0;1415;0;1;;;;;;;319;AirbusA319;O;Others;26NOV12;26NOV12
3193;EU;EU;RO;DE;LH;LH1651;0;OTP;MUC;1305;0;1415;0;1;;3;4;;6;7;320;AirbusA320-100/200;W;PAXULD;28NOV12;09DEC12
3194;EU;EU;RO;DE;LH;LH1651;0;OTP;MUC;1305;0;1415;0;;2;;;;;;319;AirbusA319;O;Others;04DEC12;04DEC12
3195;EU;EU;RO;DE;LH;LH1651;0;OTP;MUC;1305;0;1415;0;1;2;;;;;;320;AirbusA320-100/200;W;PAXULD;10DEC12;24DEC12
3196;EU;EU;RO;DE;LH;LH1651;0;OTP;MUC;1305;0;1415;0;;;3;;;;;31W;AirbusA319;O;Others;12DEC12;12DEC12
3197;EU;EU;RO;DE;LH;LH1651;0;OTP;MUC;1305;0;1415;0;;;;4;;;;319;AirbusA319;O;Others;13DEC12;13DEC12
3198;EU;EU;RO;DE;LH;LH1651;0;OTP;MUC;1305;0;1415;0;;;3;4;;6;7;320;AirbusA320-100/200;W;PAXULD;15DEC12;23DEC12
3199;EU;EU;DE;RO;LH;LH1652;0;MUC;OTP;1310;0;1610;0;;;;;;;7;31W;AirbusA319;O;Others;25NOV12;25NOV12
3200;EU;EU;DE;RO;LH;LH1652;0;MUC;OTP;1315;0;1615;0;1;2;3;4;;;;31W;AirbusA319;O;Others;19NOV12;26NOV12
3201;EU;EU;DE;RO;LH;LH1652;0;MUC;OTP;1315;0;1615;0;;2;;4;5;;;319;AirbusA319;O;Others;23NOV12;29NOV12
3202;EU;EU;DE;RO;LH;LH1652;0;MUC;OTP;1315;0;1615;0;;;3;;5;;;31W;AirbusA319;O;Others;28NOV12;30NOV12
3203;EU;EU;DE;RO;LH;LH1652;0;MUC;OTP;1310;0;1610;0;;;;;;;7;31W;AirbusA319;O;Others;02DEC12;09DEC12
