SCD;21NOV12
RowNr;RD;RA;CD;CA;AL;FNR;SNR;DEP;ARR;STD;DDC;STA;ADC;Mo;Tu;We;Th;Fr;Sa;So;ACtype;ACtypefullname;AG;AGfullname;Start_Op;End_Op
38;EU;EU;DE;DE;LH;LH006;0;FRA;HAM;0730;0;0835;0;;;;;5;;;321;AirbusA321-100/200;W;PAXULD;16NOV12;21DEC12
39;EU;EU;DE;DE;LH;LH006;0;FRA;HAM;0730;0;0835;0;;;;4;;;;320;AirbusA320-100/200;W;PAXULD;20DEC12;20DEC12
40;EU;EU;DE;DE;LH;LH007;0;HAM;FRA;0800;0;0915;0;1;;;;5;;;321;AirbusA321-100/200;W;PAXULD;16NOV12;26NOV12
41;EU;EU;DE;DE;LH;LH007;0;HAM;FRA;0800;0;0915;0;;;3;4;;6;;321;AirbusA321-100/200;W;PAXULD;17NOV12;22NOV12
42;EU;EU;DE;DE;LH;LH007;0;HAM;FRA;0800;0;0915;0;;2;3;4;;6;7;319;AirbusA319;O;Others;24NOV12;29NOV12
43;EU;EU;DE;DE;LH;LH007;0;HAM;FRA;0800;0;0915;0;;;3;;5;6;;321;AirbusA321-100/200;W;PAXULD;30NOV12;05DEC12
44;EU;EU;DE;DE;LH;LH007;0;HAM;FRA;0800;0;0915;0;;2;;;;;7;319;AirbusA319;O;Others;02DEC12;23DEC12
45;EU;EU;DE;DE;LH;LH007;0;HAM;FRA;0800;0;0915;0;1;;;;5;;;321;AirbusA321-100/200;W;PAXULD;03DEC12;17DEC12
46;EU;EU;DE;DE;LH;LH007;0;HAM;FRA;0800;0;0915;0;;;3;4;;6;;319;AirbusA319;O;Others;06DEC12;02JAN13
47;EU;EU;DE;DE;LH;LH007;0;HAM;FRA;0800;0;0915;0;1;;;;5;;;319;AirbusA319;O;Others;21DEC12;31DEC12
48;EU;EU;DE;DE;LH;LH008;0;FRA;HAM;0800;0;0905;0;;;;4;;;;320;AirbusA320-100/200;W;PAXULD;22NOV12;22NOV12
49;EU;EU;DE;DE;LH;LH008;0;FRA;HAM;0800;0;0905;0;;;;;;6;;321;AirbusA321-100/200;W;PAXULD;17NOV12;30MAR13
50;EU;EU;DE;DE;LH;LH008;0;FRA;HAM;0800;0;0905;0;1;;3;4;5;;;319;AirbusA319;O;Others;23NOV12;30NOV12
51;EU;EU;DE;DE;LH;LH008;0;FRA;HAM;0800;0;0905;0;;2;;;;;7;321;AirbusA321-100/200;W;PAXULD;25NOV12;02DEC12
52;EU;EU;DE;DE;LH;LH008;0;FRA;HAM;0800;0;0905;0;1;2;;;;;7;320;AirbusA320-100/200;W;PAXULD;03DEC12;11DEC12
53;EU;EU;DE;DE;LH;LH008;0;FRA;HAM;0800;0;0905;0;;;3;4;5;;;319;AirbusA319;O;Others;05DEC12;14DEC12
54;EU;EU;DE;DE;LH;LH008;0;FRA;HAM;0800;0;0905;0;;;;;;;7;321;AirbusA321-100/200;W;PAXULD;16DEC12;23DEC12
55;EU;EU;DE;DE;LH;LH008;0;FRA;HAM;0800;0;0905;0;1;2;;4;;;;320;AirbusA320-100/200;W;PAXULD;17DEC12;20DEC12
56;EU;EU;DE;DE;LH;LH008;0;FRA;HAM;0800;0;0905;0;1;2;3;;5;;;319;AirbusA319;O;Others;19DEC12;25DEC12
57;EU;EU;DE;DE;LH;LH008;0;FRA;HAM;0800;0;0905;0;;;3;;;;;321;AirbusA321-100/200;W;PAXULD;21NOV12;21NOV12
58;EU;EU;DE;DE;LH;LH009;0;HAM;FRA;0900;0;1015;0;;2;3;4;5;;;321;AirbusA321-100/200;W;PAXULD;20NOV12;23NOV12
59;EU;EU;DE;DE;LH;LH009;0;HAM;FRA;0900;0;1015;0;;;;;;6;;319;AirbusA319;O;Others;24NOV12;24NOV12
60;EU;EU;DE;DE;LH;LH009;0;HAM;FRA;0900;0;1015;0;1;2;3;4;5;;7;321;AirbusA321-100/200;W;PAXULD;25NOV12;06DEC12
61;EU;EU;DE;DE;LH;LH009;0;HAM;FRA;0900;0;1015;0;;;;;;6;;320;AirbusA320-100/200;W;PAXULD;01DEC12;22DEC12
62;EU;EU;DE;DE;LH;LH009;0;HAM;FRA;0900;0;1015;0;;;;;5;;;320;AirbusA320-100/200;W;PAXULD;07DEC12;07DEC12
63;EU;EU;DE;DE;LH;LH009;0;HAM;FRA;0900;0;1015;0;;;;;;;7;319;AirbusA319;O;Others;09DEC12;30DEC12
64;EU;EU;DE;DE;LH;LH009;0;HAM;FRA;0900;0;1015;0;1;2;3;4;5;;;321;AirbusA321-100/200;W;PAXULD;10DEC12;19DEC12
